DATO,VARE,KATEGORI,ANTAL,ENHEDSPRIS,BUTIK,PERSON,IALT
26/03/2024,Jordbær Yoghurt,Mejeri,1,12.00,365,Jonathan,12.00
26/03/2024,Islandsk Skyr 365,Mejeri,1,22.95,365,Jonathan,22.95
26/03/2024,Crodots,Brød,2,7.00,Lidl,Jonathan,7.00
26/03/2024,Jordbær Yoghurt,Mejeri,1,9.95,Lidl,Jonathan,9.00
26/03/2024,Choko müsli,Kolonial,1,23.95,Lidl,Jonathan,23.95
26/03/2024,Karamel Ispinde,Frost,1,25.00,Lidl,Jonathan,25.00
26/03/2024,Ciabattabrød,Brød,1,6.25,365,Anna,6.25
26/03/2024,Porrer,Frugt/grønt,1,15.00,365,Anna,15.00
26/03/2024,Kyllingebrystfilet,Kød,1,25.00,365,Anna,15.00
26/03/2024,Bacontern,Kød,1,12.50,365,Anna,12.50
26/03/2024,øko Kartofler,Frugt/grønt,1,10.00,365,Anna,10.00
26/03/2024,Kærgården let,Mejeri,2,8.00,365,Anna,16.00
27/03/2024,Minimælk,Mejeri,1,11.00,Rema 1000,Isabella,11.00
27/03/2024,Fuldkorns lasagneplade,Kolonial,1,17.00,Rema 1000,Isabella,17.00
27/03/2024,Hakkede tomater / hvidløg,Kolonial,2,7.50,Rema 1000,Isabella,15.00
27/03/2024,Gouda aged,Mejeri,1,33.00,Rema 1000,Isabella,33.00
27/03/2024,Fettuccine spinat,Køl,1,10.00,Rema 1000,Isabella,10.00
27/03/2024,Bacon i skiver,Kød,1,15.00,Rema 1000,Isabella,15.00
27/03/2024,Cocktailpølser ,Kød,1,19.00,Rema 1000,Isabella,19.00
27/03/2024,Jordbær,Frost,1,13.00,Rema 1000,Isabella,13.00
27/03/2024,Fuldkorns rugbrød,Brød,1,14.75,Rema 1000,Isabella,14.75
27/03/2024,Gulerødder,Frugt/grønt,1,10.00,Rema 1000,Isabella,10.00
27/03/2024,Krabbesalat,Kød,1,10.00,Rema 1000,Isabella,10.00
